Normalized-losses,Wheel-base,Length,Width,Height,Curb-weight,Engine-size,Bore,Stroke,Compression-ratio,Horsepower,Peak-rpm,City-mpg,Highway-mpg,Price,Make_audi,Make_bmw,Make_chevrolet,Make_dodge,Make_honda,Make_jaguar,Make_mazda,Make_mercedes-benz,Make_mitsubishi,Make_nissan,Make_peugot,Make_plymouth,Make_porsche,Make_saab,Make_subaru,Make_toyota,Make_volkswagen,Make_volvo,Fuel-type_diesel,Fuel-type_gas,Aspiration_std,Aspiration_turbo,Num-of-doors_four,Num-of-doors_two,Body-style_convertible,Body-style_hardtop,Body-style_hatchback,Body-style_sedan,Body-style_wagon,Drive-wheels_4wd,Drive-wheels_fwd,Drive-wheels_rwd,Engine-location_front,Engine-type_dohc,Engine-type_l,Engine-type_ohc,Engine-type_ohcf,Engine-type_ohcv,Num-of-cylinders_eight,Num-of-cylinders_five,Num-of-cylinders_four,Num-of-cylinders_six,Num-of-cylinders_three,Fuel-system_1bbl,Fuel-system_2bbl,Fuel-system_idi,Fuel-system_mfi,Fuel-system_mpfi,Fuel-system_spdi,label
0.115183246,0.313793103,0.286178862,0.289473684,0.490384615,0.217791411,0.179190751,0.16091954,0.5234375,0.096774194,0.092105263,0.265306122,0.575757576,0.583333333,0.007682544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,tiga
0.329842932,0.475862069,0.660162602,0.543859649,0.548076923,0.704206836,0.693641618,0.597701149,0.7109375,0.096774194,0.684210526,0.428571429,0.03030303,0.111111111,0.27994522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,dua
0.083769634,0.272413793,0.287804878,0.289473684,0.25,0.184487292,0.167630058,0.137931034,0.5859375,0.135483871,0.144736842,0.510204082,0.666666667,0.694444444,0.048667246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,dua
0.664921466,0.503448276,0.580487805,0.394736842,0.471153846,0.39745837,0.271676301,0.67816092,0.34375,0.083870968,0.348684211,0.673469388,0.212121212,0.305555556,0.394381722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,dua
0.502617801,0.244827586,0.263414634,0.359649123,0.134615385,0.188431201,0.179190751,0.068965517,0.6796875,0.122580645,0.131578947,0.551020408,0.636363636,0.638888889,0.009052041,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,empat
0.235602094,0.575862069,0.544715447,0.377192982,1,0.458808063,0.352601156,0.494252874,0.859375,0.064516129,0.263157895,0.346938776,0.242424242,0.333333333,0.127029194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,satu
0.314136126,0.334482759,0.508943089,0.447368421,0.211538462,0.400964067,0.283236994,0.298850575,0.859375,0,0.447368421,0.551020408,0.212121212,0.333333333,0.13898724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,tiga
0.329842932,0.272413793,0.393495935,0.307017544,0.490384615,0.17572305,0.208092486,0.275862069,0.7265625,0.122580645,0.138157895,0.428571429,0.454545455,0.527777778,0.012726301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,tiga
0.19895288,0.272413793,0.473170732,0.307017544,0.394230769,0.24057844,0.208092486,0.275862069,0.7265625,0.122580645,0.138157895,0.428571429,0.454545455,0.527777778,0.096232213,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,tiga
0.502617801,0.734482759,0.741463415,0.710526316,0.701923077,0.695442594,0.341040462,0.632183908,0.6484375,0.058064516,0.322368421,0.346938776,0.090909091,0.166666667,0.384528025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,dua
0.376963351,0,0.056910569,0.315789474,0.134615385,0.098597721,0.179190751,0,0.8203125,0.135483871,0.065789474,0.265306122,1,1,0.045460619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,empat
0.146596859,1,1,1,0.663461538,1,0.705202312,0.770114943,1,0.903225806,0.493421053,0.081632653,0.181818182,0.194444444,0.884561427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,satu
0.691099476,0.562068966,0.689430894,0.649122807,0.25,0.652059597,0.63583815,0.413793103,0.7734375,0.116129032,0.743421053,0.428571429,0.121212121,0.166666667,0.382123054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,lima
0.214659686,0.365517241,0.525203252,0.429824561,0.509615385,0.356704645,0.341040462,0.482758621,0.8671875,0.064516129,0.322368421,0.428571429,0.333333333,0.444444444,0.148005879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,dua
0.104712042,0.34137931,0.557723577,0.192982456,0.451923077,0.387379492,0.283236994,0.275862069,0.953125,0.096774194,0.25,0.673469388,0.333333333,0.416666667,0.172924043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,dua
0.193717277,0.365517241,0.502439024,0.447368421,0.298076923,0.373356705,0.271676301,0.816091954,0.21875,0.096774194,0.302631579,0.428571429,0.303030303,0.388888889,0.161734251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,dua
0.261780105,0.420689655,0.596747967,0.543859649,0.586538462,0.410604733,0.352601156,0.551724138,0.8046875,0.070967742,0.236842105,0.265306122,0.303030303,0.388888889,0.20465629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,dua
0.204188482,0.431034483,0.739837398,0.543859649,0.644230769,0.528921998,0.346820809,0.724137931,0.5546875,0.116129032,0.407894737,0.448979592,0.151515152,0.277777778,0.235553477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,empat
0.151832461,0.368965517,0.497560976,0.456140351,0.605769231,0.340052585,0.208092486,0.114942529,0.8125,1,0.026315789,0.265306122,0.636363636,0.777777778,0.096098604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,empat
0.157068063,0.775862069,0.775609756,0.745614035,0.586538462,0.68404908,0.462427746,1,0.6171875,0.077419355,0.736842105,0.469387755,0.090909091,0.194444444,0.465194736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,satu
0.047120419,0.610344828,0.775609756,0.605263158,0.778846154,0.677475898,0.462427746,1,0.6171875,0.129032258,0.434210526,0.510204082,0.212121212,0.277777778,0.277139421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,satu
0.282722513,0.244827586,0.263414634,0.307017544,0.134615385,0.188431201,0.167630058,0.068965517,0.6796875,0.122580645,0.131578947,0.551020408,0.636363636,0.638888889,0.015164674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,tiga
