Wife's age,Wife's education,Husband's education,# of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,label
24,2,3,3,1,1,2,3,0,A
45,1,3,10,1,1,3,4,0,A
43,2,3,7,1,1,3,4,0,A
42,3,2,9,1,1,3,3,0,A
36,3,3,8,1,1,3,2,0,A
19,4,4,0,1,1,3,3,0,A
38,2,3,6,1,1,3,2,0,A
21,3,3,1,1,0,3,2,0,A
27,2,3,3,1,1,3,4,0,A
45,1,1,8,1,1,2,2,1,A
38,1,3,2,1,0,3,3,1,A
42,1,4,4,1,1,1,3,0,A
44,4,4,1,1,0,1,4,0,A
42,2,4,1,1,0,3,3,0,A
38,3,4,2,1,1,2,3,0,A
26,2,4,0,1,1,4,1,0,A
48,1,1,7,1,1,2,4,0,A
39,2,2,6,1,1,2,4,0,A
37,2,2,8,1,1,2,3,0,A
39,2,1,5,1,1,2,1,1,A
26,3,4,1,1,0,4,1,0,A
24,3,4,0,1,0,3,1,0,A
46,4,4,1,0,1,1,4,0,A
39,4,4,1,1,1,1,4,0,A
48,4,4,5,1,1,1,4,0,A
40,2,4,8,1,1,3,3,0,A
38,4,4,1,1,0,1,4,0,A
29,4,4,0,1,0,1,4,0,A
24,4,4,0,1,0,2,2,0,A
43,1,2,8,1,1,2,4,0,A
31,3,4,2,1,1,1,4,0,A
31,4,4,2,1,1,3,2,0,A
26,2,4,0,1,0,1,2,0,A
33,2,2,2,1,1,3,1,0,A
24,2,3,1,1,1,3,3,0,A
42,1,3,9,1,1,3,2,1,A
43,1,2,8,1,0,3,1,0,A
25,3,3,4,1,1,3,2,0,A
42,2,2,3,1,1,3,4,0,A
28,2,2,1,1,1,2,4,0,A
28,1,1,3,1,1,3,1,0,A
47,2,3,0,1,0,1,3,0,A
48,2,4,2,1,1,1,3,0,A
40,4,4,2,0,1,1,4,0,A
28,2,2,1,1,1,3,2,0,A
25,1,4,1,1,1,2,1,0,A
32,4,4,2,1,1,2,3,0,A
45,4,4,0,1,1,2,4,0,A
26,4,4,1,1,1,1,4,0,A
26,4,4,0,1,0,1,4,0,A
31,4,4,0,1,0,1,4,0,A
49,4,4,7,0,1,2,4,0,A
40,3,4,8,1,1,3,3,0,A
34,4,4,1,0,0,2,3,0,A
36,2,4,5,1,1,2,3,0,A
20,2,2,2,1,1,2,2,1,A
43,4,4,5,1,0,1,4,0,A
37,3,4,7,1,1,2,1,0,A
21,2,3,0,1,1,3,4,0,A
49,4,4,6,1,1,1,2,0,A
42,3,3,10,1,1,3,3,0,A
20,2,3,1,1,1,2,3,0,A
47,1,2,2,1,0,1,3,0,A
22,2,3,1,1,1,2,1,0,A
27,2,4,1,1,0,1,3,0,A
24,2,4,1,1,1,3,1,0,A
44,4,2,8,1,1,3,3,0,A
30,2,3,3,1,1,3,1,0,A
23,3,4,2,1,1,3,4,0,A
25,4,4,1,1,0,3,3,0,A
47,2,3,4,1,1,2,3,0,A
48,2,3,8,1,1,1,4,0,A
29,2,3,1,1,1,1,1,0,A
29,2,3,1,1,1,1,2,0,A
21,3,4,0,1,1,2,3,0,A
21,3,4,1,1,1,2,3,0,A
29,4,4,0,1,0,2,4,0,A
45,3,4,3,1,1,1,4,0,A
33,2,3,2,1,1,3,2,0,A
38,4,4,1,1,0,1,4,0,A
24,4,4,0,0,1,1,4,0,A
49,4,4,6,0,0,1,4,0,A
24,2,4,1,1,0,4,4,0,A
28,4,4,0,0,0,1,4,0,A
30,4,4,2,1,1,1,4,0,A
33,4,4,2,1,1,1,4,0,A
25,4,4,1,1,1,1,3,0,A
35,4,4,3,0,1,1,4,0,A
27,2,4,4,1,1,1,4,0,A
24,2,2,3,1,0,2,1,0,A
25,2,3,0,1,1,2,1,0,A
46,2,4,6,1,1,1,4,0,A
26,2,2,3,1,1,2,1,0,A
38,2,2,1,1,0,3,2,0,A
47,1,2,3,1,1,1,3,0,A
41,1,3,10,1,1,2,3,1,A
41,2,3,1,1,0,2,3,0,A
28,4,4,5,1,1,2,1,0,A
17,2,2,3,1,1,3,1,0,A
27,2,3,5,1,1,2,1,0,A
27,1,2,4,1,1,3,1,1,A
19,2,3,0,1,0,2,2,0,A
27,2,4,3,1,0,3,2,0,A
26,4,3,4,1,1,2,3,0,A
23,2,4,2,1,1,3,3,0,A
40,3,3,3,1,1,3,2,0,A
22,4,4,0,1,1,1,1,0,A
44,3,4,4,1,0,1,3,0,A
29,2,3,2,1,1,3,1,0,A
26,2,3,3,1,1,3,1,0,A
45,4,4,1,1,0,3,3,0,A
32,3,3,7,1,0,2,3,0,A
21,4,4,1,1,1,1,4,0,A
31,2,2,4,1,1,3,3,0,A
21,3,4,0,1,1,1,3,0,A
37,4,4,1,1,1,1,4,0,A
34,4,4,3,0,0,3,3,0,A
44,3,4,1,1,1,1,3,0,A
49,4,3,5,1,1,2,3,0,A
26,2,3,2,1,1,3,3,0,A
38,1,2,1,1,1,2,4,1,A
36,2,3,5,1,1,2,3,0,A
26,3,4,2,1,1,3,3,0,A
20,2,3,1,0,1,3,2,0,A
44,2,1,3,1,0,3,2,0,A
31,3,4,2,1,1,1,2,1,A
45,4,4,1,1,1,1,3,0,A
36,2,3,2,1,1,3,2,1,A
43,1,3,2,1,0,2,2,1,A
25,3,4,0,1,1,1,3,0,A
48,3,4,3,1,1,3,1,0,A
30,4,4,0,0,0,1,3,0,A
48,1,2,8,1,1,3,1,0,A
28,3,4,1,1,1,3,1,1,A
26,4,4,1,1,1,1,3,0,A
26,3,3,3,1,0,2,4,0,A
24,4,4,2,1,1,3,3,0,A
21,3,3,2,1,1,2,2,0,A
30,4,4,2,0,1,3,1,0,A
20,4,4,1,1,1,1,4,0,A
33,4,4,2,1,1,1,3,0,A
30,4,4,0,0,0,3,3,0,A
47,4,4,1,1,0,1,3,0,A
35,4,4,2,0,1,3,3,0,A
30,2,4,2,1,1,3,4,0,A
33,4,4,3,1,1,1,4,0,A
45,4,4,4,1,1,2,3,0,A
41,4,4,2,1,1,1,4,0,A
32,4,4,1,1,0,1,3,0,A
43,4,4,5,1,1,1,4,0,A
44,4,4,3,1,1,2,4,0,A
21,1,3,4,1,1,3,2,0,A
44,3,4,2,1,1,1,4,1,A
23,4,4,2,1,1,2,4,0,A
47,1,2,4,1,1,2,2,0,A
47,1,1,7,1,1,2,3,1,A
35,4,4,2,1,0,2,4,0,A
32,2,4,4,1,1,3,2,0,A
45,1,4,5,1,1,1,2,1,A
22,2,2,2,1,1,3,1,0,A
23,1,1,3,1,1,2,1,1,A
30,4,4,0,1,0,1,4,0,A
44,1,3,0,1,1,2,3,0,A
40,3,3,1,1,0,3,3,0,A
34,4,4,4,1,1,2,3,0,A
37,3,4,1,1,1,2,4,0,A
49,3,4,5,1,1,1,4,0,A
26,4,4,1,1,1,1,4,0,A
22,4,4,0,1,1,2,4,0,A
20,3,4,0,1,0,2,4,0,A
47,4,4,4,1,1,1,4,0,A
49,2,2,8,1,0,3,1,0,A
22,2,4,1,1,1,2,4,0,A
22,3,3,2,1,1,3,4,0,A
25,3,2,2,1,1,3,2,0,A
32,2,4,0,1,0,3,4,0,A
28,4,4,0,0,1,1,3,0,A
30,2,4,4,1,0,1,4,0,A
45,2,4,2,1,0,2,4,0,A
49,2,1,10,1,0,2,4,0,A
34,4,4,2,1,0,1,4,0,A
25,2,4,1,1,1,2,2,0,A
42,1,3,12,1,1,3,3,0,A
48,2,1,3,1,0,4,3,0,A
35,3,4,5,1,0,2,2,0,A
33,2,3,1,1,1,3,4,0,A
20,2,4,0,1,1,3,2,0,A
36,2,3,4,1,1,3,1,1,A
19,3,3,2,1,1,3,2,0,A
27,3,2,3,1,1,3,2,0,A
30,1,2,4,1,1,4,1,0,A
31,3,4,3,1,0,3,2,0,A
44,1,1,11,1,1,4,1,1,A
24,3,3,2,1,1,3,3,0,A
18,3,4,0,1,0,3,1,0,A
45,1,2,6,1,1,3,3,1,A
25,2,2,3,1,0,3,1,0,A
36,3,4,6,1,1,2,4,0,A
30,1,1,5,1,1,2,2,0,A
32,2,4,2,1,1,3,3,0,A
42,1,4,11,0,1,2,2,1,A
22,2,4,0,1,1,3,3,0,A
36,2,4,2,1,0,2,4,0,A
27,2,3,2,1,1,3,3,0,A
40,3,4,1,1,1,1,2,0,A
22,2,3,2,1,1,3,1,0,A
26,2,4,0,1,1,3,1,0,A
31,3,4,0,1,0,2,3,0,A
32,4,4,1,1,1,1,4,0,A
34,2,3,3,1,0,3,2,0,A
40,3,3,1,0,1,3,4,0,A
45,1,2,1,1,0,3,3,0,A
26,3,4,3,1,1,3,2,0,A
48,1,3,5,1,1,3,2,0,A
43,1,3,8,1,1,3,1,0,A
27,3,4,2,1,0,2,2,0,A
42,3,2,1,1,1,3,3,0,A
34,3,2,8,1,0,2,3,1,A
32,3,2,4,1,1,2,2,1,A
31,3,3,2,1,0,2,3,0,A
22,2,3,1,1,1,3,3,0,A
27,3,4,0,1,1,3,3,0,A
37,1,2,2,1,1,2,2,1,A
22,1,2,0,1,1,2,4,0,A
47,4,4,4,1,1,1,4,0,A
32,4,4,4,1,0,1,3,0,A
37,3,3,2,1,1,1,4,0,A
45,1,3,1,1,1,2,3,1,A
47,1,4,8,1,1,3,3,0,A
28,3,4,0,1,1,3,2,0,A
48,1,3,4,1,1,3,4,1,A
26,2,4,1,1,1,1,3,0,A
21,3,4,0,1,0,3,1,0,A
20,2,3,1,1,1,2,4,0,A
39,1,1,5,1,0,3,1,1,A
27,2,3,1,1,0,3,4,0,A
37,2,3,5,1,0,3,2,0,A
24,4,4,1,1,1,3,3,0,A
39,3,3,6,1,1,3,3,0,A
20,3,3,1,1,1,2,3,0,A
19,3,4,1,1,1,2,3,0,A
40,3,3,4,1,1,2,2,0,A
41,1,4,4,1,1,3,3,0,A
22,4,4,2,1,1,1,3,0,A
32,3,4,4,1,1,1,4,0,A
34,4,4,2,0,1,1,4,0,A
34,4,4,2,1,0,1,3,0,A
23,4,4,2,1,1,1,4,0,A
27,4,4,1,1,1,1,2,0,A
46,3,2,11,1,0,2,2,1,A
34,4,4,3,0,1,1,2,0,A
33,4,4,5,1,1,3,3,0,A
25,3,3,1,1,1,3,2,0,A
26,4,4,1,1,0,1,4,0,A
48,1,3,4,1,1,3,3,1,A
36,4,4,2,1,1,3,3,0,A
38,3,4,2,0,1,2,4,0,A
44,1,2,7,1,1,3,4,0,A
44,2,2,1,1,0,3,2,0,A
39,3,3,1,0,1,3,4,0,A
47,1,2,7,1,0,3,2,0,A
43,1,3,5,1,0,3,2,0,A
29,3,3,3,1,0,2,4,0,A
22,3,3,0,1,1,2,2,0,A
31,2,4,5,1,1,3,2,0,A
22,4,4,0,1,1,1,3,0,A
45,3,4,6,1,1,2,4,0,A
42,3,4,10,1,0,3,2,0,A
38,3,3,7,1,1,3,1,0,A
47,1,1,6,1,0,3,1,0,A
30,4,4,2,1,1,1,4,0,A
28,3,4,1,1,1,3,4,0,A
25,3,4,1,1,1,2,1,0,A
49,2,4,6,0,1,2,3,0,A
23,3,4,2,1,0,2,3,0,A
35,3,4,1,0,1,2,3,0,A
47,2,1,5,0,1,2,4,0,A
35,2,3,0,1,1,2,4,0,A
44,3,4,6,1,1,3,4,0,A
48,4,4,3,1,1,2,4,0,A
43,2,3,6,1,0,3,3,0,A
21,2,4,2,1,1,3,1,0,A
22,4,4,0,1,1,1,4,0,A
41,3,3,5,1,1,3,4,0,A
29,2,4,2,1,0,4,4,1,A
44,4,4,5,0,1,2,4,0,A
22,4,4,0,1,0,1,4,0,A
23,2,4,4,1,1,3,3,0,A
22,2,1,0,1,1,3,2,0,A
35,1,3,0,1,1,2,2,1,A
24,4,4,1,1,1,2,2,0,A
36,4,4,4,1,1,1,4,0,A
47,1,2,2,1,1,2,4,0,A
40,4,4,3,1,1,3,4,0,A
29,4,4,1,1,1,1,3,0,A
