largest_spot_size,spot_distribution,Activity,Evolution,Previous_24_hour_flare_activity_code,Historically-complex,Did_region_become_historically_complex,Area,Area_of_the_largest_spot,C-class_flares_production_by_this_region,M-class_flares_production_by_this_region,X-class_flares_production_by_this_region,label
0,3,1,3,1,1,1,1,1,0,0,0,F
3,2,1,3,1,1,2,1,1,0,0,0,C
4,2,1,3,1,1,2,1,1,0,0,0,B
3,3,1,2,1,1,1,1,1,0,0,0,F
4,3,1,1,1,1,2,1,1,0,0,0,F
0,2,1,2,1,1,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,0,0,0,A
0,2,1,3,1,1,2,1,1,0,0,0,B
0,2,1,2,1,1,2,1,1,1,0,0,B
5,2,1,3,1,1,2,1,1,0,0,0,A
0,2,1,2,1,1,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,0,0,0,A
5,1,1,2,1,1,2,1,1,0,0,0,A
4,2,2,2,1,1,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,0,0,0,A
5,2,1,2,1,1,2,1,1,0,0,0,A
3,1,1,3,1,1,2,1,1,1,0,0,C
4,3,1,3,1,1,2,1,1,0,0,0,F
5,2,1,2,1,1,2,1,1,0,0,0,A
5,2,1,2,1,2,2,1,1,0,0,0,A
4,3,1,2,1,1,2,1,1,0,0,0,F
5,2,1,3,1,1,2,1,1,0,0,0,A
5,2,2,2,1,2,2,1,1,0,0,0,A
3,2,1,3,1,1,2,1,1,5,0,0,B
5,2,1,2,1,2,2,1,1,0,0,0,A
5,2,1,3,1,1,2,1,1,0,0,0,A
0,1,2,3,1,1,2,1,1,2,0,0,C
5,2,1,3,1,1,2,1,1,0,0,0,A
3,2,1,3,1,1,2,1,1,0,0,0,C
5,2,1,3,1,1,2,1,1,0,0,0,A
5,2,1,1,1,2,2,1,1,0,0,0,A
5,2,1,1,1,1,2,1,1,0,0,0,A
3,1,2,1,1,2,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,0,0,0,A
3,1,1,3,1,2,2,1,1,0,0,0,C
5,2,1,2,1,1,2,1,1,0,0,0,A
3,2,1,3,1,1,2,1,1,0,0,0,B
0,0,1,3,1,1,2,1,1,3,1,0,D
0,3,1,2,1,1,1,1,1,1,0,0,F
5,2,1,2,1,2,2,1,1,1,0,0,A
5,2,1,3,1,1,2,1,1,0,0,0,A
5,2,1,2,1,1,2,1,1,0,0,0,A
2,1,2,3,1,2,2,1,1,2,0,0,C
0,1,2,2,1,1,2,1,1,8,0,0,D
0,1,1,3,1,2,2,1,1,0,0,0,C
5,2,1,3,1,1,2,1,1,0,0,0,A
3,3,1,2,1,1,2,1,1,0,0,0,F
3,2,1,2,1,1,2,1,1,0,0,0,B
0,2,2,3,3,2,2,1,1,2,0,0,C
4,2,2,3,1,2,2,1,1,5,0,0,D
3,2,1,3,1,1,2,1,1,0,0,0,B
4,1,2,3,1,2,2,1,1,0,0,0,D
3,2,1,3,1,1,2,1,1,0,0,0,B
0,1,2,3,1,2,2,1,1,0,0,0,C
0,1,2,3,1,2,2,1,1,4,4,0,D
4,3,1,3,1,1,1,1,1,0,0,0,F
0,2,1,3,1,1,2,1,1,1,0,0,C
3,2,1,3,1,1,2,1,1,1,1,0,C
4,2,1,3,1,2,2,1,1,0,0,0,C
5,2,1,2,1,1,2,1,1,0,0,0,A
0,1,2,2,1,2,2,1,1,0,0,0,C
0,1,2,3,3,2,2,1,1,6,0,0,D
4,3,1,1,1,1,1,1,1,0,0,0,F
4,1,2,3,1,1,2,1,1,0,0,0,C
4,2,2,3,2,1,2,1,1,1,0,0,C
3,2,1,3,1,1,2,1,1,0,0,0,C
4,2,1,3,1,2,2,1,1,0,0,0,C
4,2,1,3,1,1,2,1,1,0,0,0,C
4,2,1,2,1,2,2,1,1,0,0,0,C
2,0,2,3,3,2,2,2,1,6,0,0,D
3,3,1,3,1,1,1,1,1,0,0,0,F
0,2,1,2,1,2,2,1,1,2,0,0,C
4,1,1,3,1,1,2,1,1,1,0,0,B
4,2,1,2,1,1,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,1,0,0,A
5,2,1,3,1,1,2,1,1,0,0,0,A
4,2,1,2,1,2,2,1,1,1,0,0,C
0,1,1,3,1,1,2,1,1,0,0,0,C
4,2,1,2,1,2,2,1,1,0,0,0,C
2,0,2,3,1,2,2,2,1,0,0,0,E
0,1,1,3,1,2,2,1,1,0,0,0,C
3,2,1,2,1,1,2,1,1,0,0,0,B
3,2,1,3,1,1,2,1,1,0,0,0,B
5,2,1,3,1,1,2,1,1,1,0,0,A
4,2,1,2,1,2,2,1,1,0,0,0,C
0,3,1,2,1,2,2,1,1,0,0,0,F
0,2,1,3,1,2,2,1,1,0,0,0,C
2,0,2,2,1,2,2,1,1,4,0,0,E
4,1,2,2,1,2,2,1,1,0,0,0,C
5,2,1,2,1,1,2,1,1,0,0,0,A
3,2,1,3,1,1,2,1,1,0,0,0,B
